SKU (Item),Name,Category,Width (cm),Length (cm),Height (cm),Net Weight (kg),Gross Weight (kg),CBM,Product Type,Stacking Limit,Side Box Weight,Box_42x46x68_Layers,Box_42x46x68_PerLayer,Box_42x46x68_Total,Box_47x66x68_Layers,Box_47x66x68_PerLayer,Box_47x66x68_Total,Box_57x64x84_Layers,Box_57x64x84_PerLayer,Box_57x64x84_Total,Box_68x74x86_Layers,Box_68x74x86_PerLayer,Box_68x74x86_Total,Box_70x100x90_Layers,Box_70x100x90_PerLayer,Box_70x100x90_Total,Pallet_80x120x65_Layers,Pallet_80x120x65_PerLayer,Pallet_80x120x65_Total,Pallet_80x120x90_Layers,Pallet_80x120x90_PerLayer,Pallet_80x120x90_Total,Pallet_80x120x115_Layers,Pallet_80x120x115_PerLayer,Pallet_80x120x115_Total,Pallet_110x110x65_Layers,Pallet_110x110x65_PerLayer,Pallet_110x110x65_Total,Pallet_110x110x90_Layers,Pallet_110x110x90_PerLayer,Pallet_110x110x90_Total,Pallet_110x110x115_Layers,Pallet_110x110x115_PerLayer,Pallet_110x110x115_Total,RTN_Layers,RTN_PerLayer,RTN_Total,Warp_Required
DT115LL1S-2A,Inverter-DT115LL1S-2A,Inverters,32.5,47,30,13.3320,13.3320,0.046,Carton,5,14,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
DT18LL1S-4A,Inverter-DT18LL1S-4A,Inverters,30,34,32,6.8140,6.8140,0.033,Carton,,7,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,18,FALSE
DT18LL1S-4AN,Inverter-DT18LL1S-4AN,Inverters,30,34,32,6.7750,6.7750,0.033,Carton,,7,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,18,FALSE
DT24LL1S-4A,Inverter-DT24LL1S-4A,Inverters,30,34,32,6.8830,6.8830,0.033,Carton,,7,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,18,FALSE
DT24LL1S-4AN,Inverter-DT24LL1S-4AN,Inverters,30,34,32,6.8310,6.8310,0.033,Carton,,7,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,18,FALSE
DT32LL1S-4A,Inverter-DT32LL1S-4A,Inverters,30,34,32,8.4660,8.4660,0.033,Carton,,9,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,18,FALSE
DT32LL1S-4AN,Inverter-DT32LL1S-4AN,Inverters,30,34,32,8.3770,8.3770,0.033,Carton,,9,,,1,,,2,,,4,,,8,,,12,,,,,,16,,,24,,,,,,18,,,27,,,18,FALSE
DT39LL1S-4A,Inverter-DT39LL1S-4A,Inverters,32.5,47,30,12.4680,12.4680,0.046,Carton,6,13,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
DT39LL1S-4AN,Inverter-DT39LL1S-4AN,Inverters,32.5,47,30,12.3450,12.3450,0.046,Carton,,13,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
DT45LL1S-4A,Inverter-DT45LL1S-4A,Inverters,32.5,47,30,12.6780,12.6780,0.046,Carton,6,13,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
DT45LL1S-4AN,Inverter-DT45LL1S-4AN,Inverters,32.5,47,30,12.5560,12.5560,0.046,Carton,,13,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
DT56LL1S-4A,Inverter-DT56LL1S-4A,Inverters,32.5,47,30,13.2810,13.2810,0.046,Carton,6,14,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
DT56LL1S-4AN,Inverter-DT56LL1S-4AN,Inverters,32.5,47,30,13.2400,13.2400,0.046,Carton,,14,,,,,,1,,,2,,,4,,,8,,,,,,10,,,15,,,,,,12,,,18,,,18,FALSE
DT75LL1S-4A,Inverter-DT75LL1S-4A,Inverters,42,70,38,27.0000,27.0000,0.112,Carton,,28,,,,,,,,,,,,1,,,3,,,,,,,,,4,,,,,,,,,4,,,4,FALSE
DT75LL1S-4AN,Inverter-DT75LL1S-4AN,Inverters,42,70,38,26.4410,26.4410,0.112,Carton,,28,,,,,,,,,,,,1,,,3,,,,,,,,,4,,,,,,,,,4,,,4,FALSE
DT91LL1S-4A,Inverter-DT91LL1S-4A,Inverters,46,76,40,36.6050,36.6050,0.140,Carton,,37,,,,,,,,,,,,,,,1,,,2,,,,,,4,,,2,,,,,,4,,,4,FALSE
DT91LL1S-4AN,Inverter-DT91LL1S-4AN,Inverters,46,76,40,36.6300,36.6300,0.140,Carton,,37,,,,,,,,,,,,,,,1,,,2,,,,,,4,,,2,,,,,,4,,,4,FALSE
EQ7-2001-C,Inverter-EQ7-2001-C,Inverters,19,31.5,23,3.2600,3.2600,0.014,Carton,,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE
EQ7-2002-C,Inverter-EQ7-2002-C,Inverters,23.5,33,23.5,4.0800,4.0800,0.018,Carton,,3.8,,,2,,,4,,,6,,,18,,,27,,,,,,,,,40,,,,,,,,,,,,,FALSE
EQ7-2003-C,Inverter-EQ7-2003-C,Inverters,23.5,33,23.5,4.3950,4.3950,0.018,Carton,,3.8,,,2,,,4,,,6,,,18,,,27,,,,,,,,,40,,,,,,,,,,,,,FALSE
EQ7-2005-C,Inverter-EQ7-2005-C,Inverters,23.5,33,23.5,4.5080,4.5080,0.018,Carton,8,3.8,,,2,,,4,,,6,,,18,,,27,,,,,,,,,40,,,,,,,,,,,,,FALSE
EQ7-2007-C,Inverter-EQ7-2007-C,Inverters,31,37,34,8.4710,8.4710,0.039,Carton,,8.1,,,1,,,2,,,4,,,6,,,10,,,,,,12,,,,,,,,,,,,,,,,FALSE
EQ7-2010-C,Inverter-EQ7-2010-C,Inverters,31,37,34,8.4710,8.4710,0.039,Carton,,8.1,,,1,,,2,,,4,,,6,,,10,,,,,,12,,,,,,,,,,,,,,,,FALSE
EQ7-2015-C,Inverter-EQ7-2015-C,Inverters,31,37,34,8.6670,8.6670,0.039,Carton,,8.1,,,1,,,2,,,4,,,6,,,10,,,,,,12,,,,,,,,,,,,,,,,FALSE
