ratioStandard,ratioWarp,mode,product,transportMode,ratioBoxes,returnableTotal,totalPackages,shipment,cartonTotal,siQty,qty,ratioCarton,boxesTotal,packagingBreakdown.warpQty,packagingBreakdown.qty110x110x65,packagingBreakdown.qty110x110x115,packagingBreakdown.qty80x120x90,packagingBreakdown.qty70x100x90,packagingBreakdown.qty80x120x65,packagingBreakdown.qty53x53x58,packagingBreakdown.qty110x110x90,packagingBreakdown.qty80x120x115,packagingBreakdown.qty47x66x68,packagingBreakdown.unitQty,packagingBreakdown.qty42x46x68,packagingBreakdown.qty68x74x86,packagingBreakdown.returnableQty,packagingBreakdown.qty27x27x22,packagingBreakdown.qty57x64x84,packagingBreakdown.qty53x53x19,standardTotal,warpTotal,ratioReturnable,date,customerName,remark,consigneeName,__id,__path,__createTime,__updateTime
0,0.4,AIRCRAFT,INVERTER,AIRCRAFT,0,0,4,FEE,0,1,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2022-06-28,FMT,,FEE,014jxoi2ogKmXJvfvulI,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/014jxoi2ogKmXJvfvulI,2026-03-06T02:44:59.190364Z,2026-03-06T09:16:35.654523Z
1,0,VESSEL,INVERTER,VESSEL,2,0,7,FEID,0,6,39,0,6,0,0,0,0,1,0,0,1,0,1,0,3,1,0,0,0,0,1,0,0,2025-02-26,FMT,,FEID,01ZKeKzz3bzx7kv2oQwZ,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/01ZKeKzz3bzx7kv2oQwZ,2026-03-06T02:44:55.432269Z,2026-03-06T09:16:35.654523Z
23,6.7,VESSEL,INVERTER,VESSEL,9.666666666666666,0,119,FEI,0,48,2076,0,29,67,1,12,0,9,0,0,10,0,3,0,8,4,0,0,5,0,23,67,0,2023-06-26,FMT,,FEI,01sXY2qtmAZEMNRmR8d4,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/01sXY2qtmAZEMNRmR8d4,2026-03-06T02:44:59.190364Z,2026-03-06T09:16:35.654523Z
2,0.4,VESSEL,INVERTER,VESSEL,1,0,9,FEA TWMC,0,5,29,0,3,4,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,2,4,0,2023-10-11,FMT,,FEA TWMC,02PHZmtPVHGAhVBIzEfR,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/02PHZmtPVHGAhVBIzEfR,2026-03-06T02:44:41.429278Z,2026-03-06T09:16:35.654523Z
0,2.8,VESSEL,INVERTER,VESSEL,0,0,28,FEI,0,6,28,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,2021-03-03,FMT,,FEI,02aqr6ftbP9QSiQnKCNz,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/02aqr6ftbP9QSiQnKCNz,2026-03-06T02:44:23.365298Z,2026-03-06T09:16:35.654523Z
3,0,AIRCRAFT,INVERTER,AIRCRAFT,1.6666666666666667,0,8,FETW,0,6,206,0,5,0,1,1,0,2,0,0,1,0,0,0,1,1,0,0,1,0,3,0,0,2023-11-27,FMT,,FETW,03u7qgdxRzXTSurK0IBh,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/03u7qgdxRzXTSurK0IBh,2026-03-06T02:44:59.190364Z,2026-03-06T09:16:35.654523Z
12,15,AIRCRAFT,INVERTER,AIRCRAFT,3.3333333333333335,0,172,FEE,0,33,312,0,10,150,0,0,10,2,0,0,0,2,2,0,1,4,0,0,1,0,12,150,0,2023-10-12,FMT,,FEE,04y1KkjWnOXBTegGIhks,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/04y1KkjWnOXBTegGIhks,2026-03-06T02:44:44.544187Z,2026-03-06T09:16:35.654523Z
16,3.1,VESSEL,INVERTER,VESSEL,8.333333333333334,0,72,FAP,0,31,833,0,25,31,3,6,0,6,0,0,7,0,5,0,4,7,0,0,3,0,16,31,0,2022-10-06,FMT,,FAP,05TTHihEoZJxvhQKa1qW,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/05TTHihEoZJxvhQKa1qW,2026-03-06T02:44:35.130684Z,2026-03-06T09:16:35.654523Z
0,0,VESSEL,INVERTER,VESSEL,0.6666666666666666,0,2,FEID,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2026-01-16,FMT,,FEID,06E7lIbYGggtfcERlhf1,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/06E7lIbYGggtfcERlhf1,2026-03-06T02:44:44.544187Z,2026-03-12T04:44:24.771561Z
11,4.7,VESSEL,INVERTER,VESSEL,1.6666666666666667,0,63,FEA NJ,0,13,712,0,5,47,0,0,7,2,0,0,0,4,2,0,1,0,0,0,0,0,11,47,0,2022-07-05,FMT,,FEA NJ,075LxOt1VLC5c1tleeTV,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/075LxOt1VLC5c1tleeTV,2026-03-06T02:44:35.130684Z,2026-03-06T09:16:35.654523Z
3,0,VESSEL,INVERTER,VESSEL,0,0,3,FEC,0,1,100,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2021-04-28,FMT,,FEC,08IM2SwQPpaP21IVQXG1,projects/bpi-aeropath/databases/(default)/documents/packaging_reports/08IM2SwQPpaP21IVQXG1,2026-03-06T02:44:18.832963Z,2026-03-06T09:16:35.654523Z
