gw,sideBoxWeight,height,updatedAt,length,productType,cbm,name,stackingLimit,lastUpdated,width,sku,nw,packingRules.boxes.47x66x68.perLayer,packingRules.boxes.47x66x68.layers,packingRules.boxes.47x66x68.totalQty,packingRules.boxes.57x64x84.layers,packingRules.boxes.57x64x84.perLayer,packingRules.boxes.57x64x84.totalQty,packingRules.boxes.70x100x90.perLayer,packingRules.boxes.70x100x90.layers,packingRules.boxes.70x100x90.totalQty,packingRules.boxes.68x74x86.layers,packingRules.boxes.68x74x86.perLayer,packingRules.boxes.68x74x86.totalQty,packingRules.rtn.totalQty,packingRules.rtn.perLayer,packingRules.rtn.layers,packingRules.pallets.80x120x115.layers,packingRules.pallets.80x120x115.perLayer,packingRules.pallets.80x120x115.totalQty,packingRules.pallets.80x120x90.perLayer,packingRules.pallets.80x120x90.layers,packingRules.pallets.80x120x90.totalQty,packingRules.pallets.110x110x90.totalQty,packingRules.pallets.110x110x90.perLayer,packingRules.pallets.110x110x90.layers,packingRules.pallets.110x110x115.totalQty,packingRules.pallets.110x110x115.layers,packingRules.pallets.110x110x115.perLayer,packingRules.warp,category,__id,__path,__createTime,__updateTime,packingRules.boxes.42x46x68.totalQty,packingRules.boxes.42x46x68.perLayer,packingRules.boxes.42x46x68.layers,packingRules.pallets.80x120x65.totalQty,packingRules.pallets.80x120x65.perLayer,packingRules.pallets.80x120x65.layers,packingRules.pallets.110x110x65.layers,packingRules.pallets.110x110x65.perLayer,packingRules.pallets.110x110x65.totalQty,unit
13.332,14 kg.,30,2026-02-11T16:04:48.901Z,47,Carton,0.046,Inverter-DT115LL1S-2A,0,2026-02-11,32.5,DT115LL1S-2A,13.332,1,1,1,2,1,2,4,2,8,2,2,4,18,6,3,3,5,15,5,2,10,12,6,2,18,3,6,False,Inverters,DT115LL1S-2A,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/DT115LL1S-2A,2026-02-03T15:16:38.401585Z,2026-02-11T16:04:48.948793Z,,,,,,,,,,
6.814,7 kg.,32,2026-03-04T16:48:47.804Z,34,Carton,0.033,Inverter-DT18LL1S-4A,0,2026-03-04,30,DT18LL1S-4A,6.814,0,0,2,0,0,4,0,0,12,0,0,8,18,0,0,0,0,24,0,0,16,18,0,0,27,0,0,False,Inverters,DT18LL1S-4A,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/DT18LL1S-4A,2026-02-03T15:16:38.401585Z,2026-03-04T16:48:47.840209Z,1,0,0,,,,,,,
6.775,7,32,2026-02-03T15:16:34.088Z,34,Carton,0.033,Inverter-DT18LL1S-4AN,0,2026-02-03,30,DT18LL1S-4AN,6.775,0,0,2,0,0,4,0,0,12,0,0,8,18,0,0,0,0,24,0,0,16,18,0,0,27,0,0,False,Inverters,DT18LL1S-4AN,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/DT18LL1S-4AN,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,1,0,0,,,,,,,
6.883,7,32,2026-03-16T03:58:53.197Z,34,Carton,0.033,Inverter-DT24LL1S-4A,0,2026-03-16,30,DT24LL1S-4A,6.883,2,1,2,2,2,4,6,2,12,2,4,8,18,9,2,3,8,24,8,2,16,18,9,2,27,3,9,False,Inverters,DT24LL1S-4A,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/DT24LL1S-4A,2026-02-03T15:16:38.401585Z,2026-03-16T03:58:53.250650Z,1,1,1,,,,,,,
6.831,7,32,2026-02-03T15:16:34.088Z,34,Carton,0.033,Inverter-DT24LL1S-4AN,0,2026-02-03,30,DT24LL1S-4AN,6.831,0,0,2,0,0,4,0,0,12,0,0,8,18,0,0,0,0,24,0,0,16,18,0,0,27,0,0,False,Inverters,DT24LL1S-4AN,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/DT24LL1S-4AN,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,1,0,0,,,,,,,
8.466,9,32,2026-02-03T15:16:34.088Z,34,Carton,0.033,Inverter-DT32LL1S-4A,0,2026-02-03,30,DT32LL1S-4A,8.466,0,0,2,0,0,4,0,0,12,0,0,8,18,0,0,0,0,24,0,0,16,18,0,0,27,0,0,False,Inverters,DT32LL1S-4A,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/DT32LL1S-4A,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,1,0,0,,,,,,,
8.377,9,32,2026-02-03T15:16:34.088Z,34,Carton,0.033,Inverter-DT32LL1S-4AN,0,2026-02-03,30,DT32LL1S-4AN,8.377,0,0,2,0,0,4,0,0,12,0,0,8,18,0,0,0,0,24,0,0,16,18,0,0,27,0,0,False,Inverters,DT32LL1S-4AN,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/DT32LL1S-4AN,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,1,0,0,,,,,,,
12.468,13,30,2026-02-03T15:16:34.088Z,47,Carton,0.046,Inverter-DT39LL1S-4A,6,2026-02-03,32.5,DT39LL1S-4A,12.468,0,0,1,0,0,2,0,0,8,0,0,4,18,0,0,0,0,15,0,0,10,12,0,0,18,0,0,False,Inverters,DT39LL1S-4A,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/DT39LL1S-4A,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
12.345,13,30,2026-02-03T15:16:34.088Z,47,Carton,0.046,Inverter-DT39LL1S-4AN,0,2026-02-03,32.5,DT39LL1S-4AN,12.345,0,0,1,0,0,2,0,0,8,0,0,4,18,0,0,0,0,15,0,0,10,12,0,0,18,0,0,False,Inverters,DT39LL1S-4AN,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/DT39LL1S-4AN,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
12.678,13,30,2026-02-03T15:16:34.088Z,47,Carton,0.046,Inverter-DT45LL1S-4A,6,2026-02-03,32.5,DT45LL1S-4A,12.678,0,0,1,0,0,2,0,0,8,0,0,4,18,0,0,0,0,15,0,0,10,12,0,0,18,0,0,False,Inverters,DT45LL1S-4A,projects/bpi-aeropath/databases/(default)/documents/packaging_specs/DT45LL1S-4A,2026-02-03T15:16:38.401585Z,2026-02-03T15:16:38.401585Z,,,,,,,,,,
