Description,Type,Carton 27cm.x27cm.,Carton 53cm.x53cm.,Box 42cm.x46cm.,Pallet 42cm.x46cm.,Box 47cm.x66cm.,Pallet 47cm.x66cm.,Box 53cm.x53cm.,Pallet 53cm.x53cm.,Box 57cm.x64cm.,Pallet 57cm.x64cm.,Box 68cm.x74cm.,Pallet 68cm.x74cm.,Box 70cm.x100cm.,Pallet 70cm.x100cm.,White Corner 10cm.,Brown Corner 10cm.,White Corner 50cm.,White Corner 75cm.,White Corner 100cm.,Cover 110cm.x110cm.,Pallet 110cm.x110cm.,Paper Sheet 108cm.x50cm.,Paper Sheet 108cm.x75cm.,Paper Sheet 108cm.x100cm.,Cover 80cm.x120cm.,Pallet 80cm.x120cm.,Paper Sheet 78cm.x75cm.,Paper Sheet 78cm.x100cm.,Paper Sheet 118cm.x75cm.,Paper Sheet 118cm.x100cm.,Plastic Warp (m),White Composite Strap (m),Blue Plastic,White Plastic
110x110x115,Pallet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,2,1,0,0,4,0,0,0,0,0,0,22,22.5,1,0
110x110x90,Pallet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,2,1,0,4,0,0,0,0,0,0,0,18,16,1,0
80x120x115,Pallet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,2,1,0,2,0,2,20,22,1,0
80x120x90,Pallet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,0,0,0,0,1,2,0,2,0,16,20,1,0
RETURNABLE,Pallet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,17,0,1
42x46x68,Box,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4.6,1,0
47x66x68,Box,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5.5,1,0
53x53x58,Box,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4.5,1,0
57x64x84,Box,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5.7,1,0
68x74x86,Box,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6.2,1,0
70x100x90,Box,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10.3,1,0
27x27x22,Box,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
53x53x19,Box,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
WARP,WARP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
